pk,user_id,product_id,rating,content,content,,pk,content
1,1,1,9,Fruity and not too sweet,19,,1,"Pleasant surprise! Well balanced. Nose was medium plus, green bell pepper was there but not too much, cream, apricot. Dry, medium plus acidity. Palate had a bit of vanilla, passion fruit, apricot."
2,2,1,6,Little bit sweet:(,17,,2,"Pear!!! Fig, Floral, refreshing"
3,3,1,4,sweet. Good light drink.,6,,3,"Grapefruit, starfruit, green melon, stone minerality, strong but balanced acidity. Refreshing and delicious!"
4,4,1,8,A little too sweet but very pleasant and light,12,,4,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish
5,5,1,4,I just don't like sweet vine but this wine is good with desserts,26,,5,Nice sweet taste. A white wine with small bubbles on my tongue. It is a fun wine that could be good with dinner or just for the fun of it.
6,6,1,7,honey peach tropical bread yeast Too sweet for me,31,,6,sweet. Good light drink.
7,7,1,2,too sweet for me but decent one:),32,,7,peach green apple sweety
8,8,1,2,"Bit fizzier then I usually look for, but Devine nonetheless. ",21,,8,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese."
9,1,2,10,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.,15,,9,too sweet for me but decent one:)
10,2,2,9,Fruity and not too sweet,19,,10,Fruity & good vakue
11,3,2,10,"Good for me, Not for my wife",27,,11,unexpectedly sweet and soft
12,4,2,5,"very sweet, so only good at the first drink",23,,12,A little too sweet but very pleasant and light
13,5,2,5,Trash,28,,13,"Very sweet, a little spakling for some reason. Easy drink"
14,6,2,10,unexpectedly sweet and soft,11,,14,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. 
15,7,2,1,I really enjoy all oh Villa M’s wines that I’ve tried so far! This moscato was sweet and smooth. Very refreshing. ,14,,15,I really like this wine it’s extremely light great with apples and pears. I was skeptical when I poured my glass and it fizzed like a moscato. Witch I’m not found of.
16,8,2,8,unexpectedly sweet and soft,11,,16,Sweet apple flavored and a little sparkling wine. This is the best choice at the beginning of the meal to appetite.
17,1,3,6,A liittle too sweet,29,,17,Little bit sweet:(
18,2,3,3,sparkling!,30,,18,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night
19,3,3,5,Reputable producer making a solid Sauvignon blanc greeted with citrus on the palate opening up to a pear melon easy finish,4,,19,Fruity and not too sweet
20,4,3,10,light body/ fruity,22,,20,Sweet taste with a great finish
21,5,3,7,Fruity & good vakue,10,,21,"Bit fizzier then I usually look for, but Devine nonetheless. "
22,6,3,4,"very sweet, so only good at the first drink",23,,22,light body/ fruity
23,7,3,7,Very smooth and syrupy. Fruity and juicy as well. Perfect for netflix and chill kinda night,18,,23,"very sweet, so only good at the first drink"
24,8,3,2,light body/ fruity,22,,24,"Very sweet, bordering dessert wine"
25,1,4,9,light body/ fruity,22,,25,Frizzante. Very floral. White flowers and very peachy. Not my style but pleasant.
26,2,4,9,Little bit sweet:(,17,,26,I just don't like sweet vine but this wine is good with desserts
27,3,4,10,"lovely sweet wine! honey, peach with hints of green apple. perfectly pairs with Emmental cheese.",8,,27,"Good for me, Not for my wife"
28,4,4,7,sweet. Good light drink.,6,,28,Trash
29,5,4,7,I just don't like sweet vine but this wine is good with desserts,26,,29,A liittle too sweet
30,6,4,1,"Pear!!! Fig, Floral, refreshing",2,,30,sparkling!
31,7,4,6,A liittle too sweet,29,,31,honey peach tropical bread yeast Too sweet for me
32,8,4,6,"Pear!!! Fig, Floral, refreshing",2,,32,too sweet for me but decent one:)
33,1,5,4,too sweet for me but decent one:),32,,,
34,2,5,2,too sweet for me but decent one:),9,,,
35,3,5,3,Fruity and not too sweet,19,,,
